编号,资源名称,类型,体积KB,许可
R-0001,specimen-1-视频,视频,246.4,CC0
R-0002,specimen-2-音频,音频,736.3,CC0
R-0003,specimen-3-文档,文档,498.8,内部使用
R-0004,specimen-4-字体,字体,633.2,CC0
R-0005,specimen-5-图片,图片,13.0,CC0
R-0006,specimen-6-视频,视频,747.8,内部使用
R-0007,specimen-7-音频,音频,22.2,CC0
R-0008,specimen-8-文档,文档,106.9,CC0
R-0009,specimen-9-字体,字体,368.9,内部使用
R-0010,specimen-10-图片,图片,615.8,CC0
R-0011,specimen-11-视频,视频,341.6,CC0
R-0012,specimen-12-音频,音频,69.9,内部使用
R-0013,specimen-13-文档,文档,317.0,CC0
R-0014,specimen-14-字体,字体,665.8,CC0
R-0015,specimen-15-图片,图片,239.7,内部使用
R-0016,specimen-16-视频,视频,180.8,CC0
R-0017,specimen-17-音频,音频,424.3,CC0
R-0018,specimen-18-文档,文档,701.4,内部使用
R-0019,specimen-19-字体,字体,454.6,CC0
R-0020,specimen-20-图片,图片,257.7,CC0
R-0021,specimen-21-视频,视频,513.1,内部使用
R-0022,specimen-22-音频,音频,698.0,CC0
R-0023,specimen-23-文档,文档,354.8,CC0
R-0024,specimen-24-字体,字体,708.1,内部使用
R-0025,specimen-25-图片,图片,886.2,CC0
R-0026,specimen-26-视频,视频,478.9,CC0
R-0027,specimen-27-音频,音频,246.8,内部使用
R-0028,specimen-28-文档,文档,877.9,CC0
R-0029,specimen-29-字体,字体,200.6,CC0
R-0030,specimen-30-图片,图片,422.4,内部使用
R-0031,specimen-31-视频,视频,631.4,CC0
R-0032,specimen-32-音频,音频,364.1,CC0
